iter	Passed	Remaining
609	1753	1120
610	1755	1117
611	1757	1114
612	1760	1111
613	1762	1107
614	1764	1104
615	1766	1101
616	1769	1098
617	1772	1095
618	1775	1092
619	1777	1089
620	1780	1086
621	1782	1083
622	1784	1080
623	1787	1076
624	1789	1073
625	1791	1070
626	1793	1067
627	1796	1064
628	1799	1061
629	1801	1058
630	1804	1055
631	1806	1051
632	1809	1049
633	1811	1045
634	1814	1043
635	1816	1039
636	1819	1036
637	1822	1033
638	1824	1030
639	1827	1027
640	1829	1024
641	1832	1021
642	1835	1018
643	1838	1016
644	1840	1013
645	1843	1010
646	1845	1006
647	1847	1003
648	1850	1000
649	1853	998
650	1857	995
651	1863	994
652	1866	991
653	1869	989
654	1871	985
655	1874	982
656	1876	979
657	1878	976
658	1880	973
659	1883	970
660	1886	967
661	1888	964
662	1891	961
663	1893	957
664	1895	955
665	1898	952
666	1900	948
667	1902	945
668	1904	942
669	1906	939
670	1909	936
671	1911	933
672	1914	930
673	1917	927
674	1919	924
675	1922	921
676	1924	918
677	1926	915
678	1929	912
679	1931	908
680	1935	906
681	1938	903
682	1940	900
683	1943	897
684	1945	894
685	1947	891
686	1951	888
687	1955	886
688	1959	884
689	1962	881
690	1965	879
691	1969	876
692	1972	873
693	1975	870
694	1977	867
695	1979	864
696	1981	861
697	1984	858
698	1986	855
699	1991	853
700	1993	850
701	1995	847
702	1998	844
703	2000	840
704	2002	838
705	2004	834
706	2007	831
707	2009	828
708	2011	825
709	2013	822
710	2016	819
711	2018	816
712	2020	813
713	2023	810
714	2025	807
715	2028	804
716	2031	801
717	2034	798
718	2036	796
719	2040	793
720	2043	790
721	2045	787
722	2047	784
723	2049	781
724	2051	778
725	2054	775
726	2056	772
727	2058	769
728	2061	766
729	2063	763
730	2065	759
731	2067	757
732	2070	754
733	2072	751
734	2075	748
735	2077	745
736	2080	742
737	2084	739
738	2087	737
739	2090	734
740	2108	737
741	2111	734
742	2113	731
743	2116	728
744	2119	725
745	2122	722
746	2125	719
747	2128	716
748	2130	713
749	2134	711
750	2137	708
751	2139	705
752	2142	702
753	2145	699
754	2148	697
755	2151	694
756	2154	691
757	2156	688
758	2159	685
759	2161	682
760	2164	679
761	2166	676
762	2169	673
763	2171	670
764	2174	668
765	2177	665
766	2180	662
767	2183	659
768	2186	656
769	2189	653
770	2191	650
771	2194	648
772	2197	645
773	2200	642
774	2202	639
775	2204	636
776	2206	633
777	2208	630
778	2211	627
779	2213	624
780	2215	621
781	2217	618
782	2219	615
783	2222	612
784	2224	609
785	2227	606
786	2229	603
787	2231	600
788	2234	597
789	2237	594
790	2239	591
791	2241	588
792	2244	585
793	2246	582
794	2248	579
795	2251	577
796	2254	574
797	2257	571
798	2259	568
799	2262	565
800	2266	562
801	2268	560
802	2270	557
803	2273	554
804	2276	551
805	2281	549
806	2283	546
807	2285	543
808	2287	540
809	2290	537
810	2293	534
811	2296	531
812	2299	528
813	2301	525
814	2303	522
815	2306	519
816	2309	517
817	2312	514
818	2314	511
819	2316	508
820	2319	505
821	2321	502
822	2323	499
823	2326	496
824	2328	493
825	2330	490
826	2333	488
827	2336	485
828	2338	482
829	2340	479
830	2344	476
831	2346	473
832	2349	470
833	2351	468
834	2354	465
835	2357	462
836	2359	459
837	2361	456
838	2364	453
839	2366	450
840	2368	447
841	2371	444
842	2373	442
843	2375	439
844	2378	436
845	2380	433
846	2382	430
847	2384	427
848	2387	424
849	2390	421
850	2393	419
851	2396	416
852	2398	413
853	2400	410
854	2403	407
855	2405	404
856	2408	401
857	2411	399
858	2413	396
859	2415	393
860	2417	390
861	2420	387
862	2422	384
863	2425	381
864	2429	379
865	2432	376
866	2435	373
867	2438	370
868	2439	367
869	2442	364
870	2444	362
871	2446	359
872	2449	356
873	2451	353
874	2453	350
875	2456	347
876	2458	344
877	2460	341
878	2463	339
879	2466	336
880	2469	333
881	2471	330
882	2474	327
883	2477	325
884	2479	322
885	2482	319
886	2484	316
887	2486	313
888	2488	310
889	2491	307
890	2493	305
891	2496	302
892	2498	299
893	2504	296
894	2507	294
895	2511	291
896	2514	288
897	2517	285
898	2519	283
899	2521	280
900	2523	277
901	2525	274
902	2528	271
903	2530	268
904	2533	265
905	2535	263
906	2537	260
907	2539	257
908	2542	254
909	2544	251
910	2547	248
911	2549	245
912	2551	243
913	2553	240
914	2556	237
915	2559	234
916	2561	231
917	2563	229
918	2566	226
919	2569	223
920	2571	220
921	2573	217
922	2575	214
923	2578	212
924	2580	209
925	2583	206
926	2586	203
927	2589	200
928	2592	198
929	2595	195
930	2598	192
931	2601	189
932	2605	187
933	2608	184
934	2611	181
935	2614	178
936	2617	175
937	2619	173
938	2622	170
939	2625	167
940	2627	164
941	2629	161
942	2632	159
943	2634	156
944	2637	153
945	2641	150
946	2643	147
947	2645	145
948	2647	142
949	2650	139
950	2653	136
951	2655	133
952	2658	131
953	2660	128
954	2663	125
955	2666	122
956	2669	119
957	2672	117
958	2691	115
959	2694	112
960	2696	109
961	2699	106
962	2701	103
963	2703	100
964	2706	98
965	2709	95
966	2711	92
967	2713	89
968	2715	86
969	2717	84
970	2720	81
971	2722	78
972	2724	75
973	2727	72
974	2729	69
975	2731	67
976	2734	64
977	2737	61
978	2740	58
979	2743	55
980	2745	53
981	2747	50
982	2750	47
983	2752	44
984	2755	41
985	2757	39
986	2759	36
987	2762	33
988	2765	30
989	2769	27
990	2772	25
991	2775	22
992	2778	19
993	2780	16
994	2782	13
995	2784	11
996	2786	8
997	2788	5
998	2791	2
999	2794	0
