iter	Logloss
0	0.6829507605
1	0.674023707
2	0.6664564494
3	0.6584281031
4	0.6492646793
5	0.6399140434
6	0.632943121
7	0.6258690631
8	0.6184876034
9	0.6121425093
10	0.6047580218
11	0.5971331115
12	0.5910217874
13	0.5817847278
14	0.575579179
15	0.5681440716
16	0.560580615
17	0.5558652043
18	0.5493818262
19	0.5428794325
20	0.5371431364
21	0.5318404387
22	0.5258398396
23	0.5198748977
24	0.5142044968
25	0.5085602847
26	0.5020443724
27	0.4960168756
28	0.4889850259
29	0.483104946
30	0.476905362
31	0.4700935557
32	0.4653543211
33	0.459674675
34	0.4553813569
35	0.4498290294
36	0.4439488544
37	0.4390585624
38	0.4341124068
39	0.4301465387
40	0.4249868653
41	0.4202562367
42	0.4157744048
43	0.4109239347
44	0.4072245039
45	0.4030036943
46	0.3982300524
47	0.3931326446
48	0.3895081936
49	0.3854083454
50	0.3820654645
51	0.3779751882
52	0.3734040454
53	0.3696510863
54	0.3657784999
55	0.3618184549
56	0.3586885358
57	0.3554059817
58	0.3515014286
59	0.3475091406
60	0.344765919
61	0.3411066453
62	0.3373821276
63	0.3337353128
64	0.3299241502
65	0.3266861272
66	0.3232592862
67	0.3209581933
68	0.3186043986
69	0.3163627032
70	0.313569487
71	0.3105280397
72	0.3075637996
73	0.3048147136
74	0.30184324
75	0.2983354366
76	0.2962367868
77	0.2931522678
78	0.2901236445
79	0.2872747117
80	0.2846807272
81	0.2819744659
82	0.2801115131
83	0.2774220821
84	0.2746496533
85	0.2725504399
86	0.2706661036
87	0.2685086737
88	0.2662027074
89	0.2641527797
90	0.2617412044
91	0.2591360242
92	0.2568038303
93	0.2546657748
94	0.2525030453
95	0.2504056854
96	0.2481172615
97	0.2461820348
98	0.2442024811
99	0.2422711352
100	0.2404065351
101	0.2387572707
102	0.2369432937
103	0.2350336576
104	0.2334645417
105	0.2319985546
106	0.2304883228
107	0.228501675
108	0.2268167421
109	0.2246590719
110	0.2226954935
111	0.2204910139
112	0.2189626281
113	0.2175622399
114	0.2156612365
115	0.2143439617
116	0.2127700334
117	0.2108915568
118	0.2088546587
119	0.207033013
120	0.2054220694
121	0.2038103904
122	0.2025083766
123	0.2009721585
124	0.1994038235
125	0.1978847445
126	0.1964616243
127	0.1948131311
128	0.193269142
129	0.191991558
130	0.1907801537
131	0.1896862038
132	0.1883236894
133	0.1873415004
134	0.186100896
135	0.1848390299
136	0.1836601992
137	0.1824181585
138	0.1812328273
139	0.1798695211
140	0.178630814
141	0.1773135788
142	0.1758965125
143	0.1746338237
144	0.1731893782
145	0.1719375377
146	0.1709758876
147	0.1699196965
148	0.168834382
149	0.1675926265
150	0.1665844352
151	0.165908246
152	0.1646633519
153	0.163791886
154	0.1628655529
155	0.1618814583
156	0.1608318874
157	0.1597811526
158	0.1586974216
159	0.1575864073
160	0.1566193439
161	0.1559528185
162	0.1548465895
163	0.1540616126
164	0.1534012346
165	0.1524781474
166	0.1515645743
167	0.1506300071
168	0.1494555657
169	0.1485065137
170	0.1476690729
171	0.1465525851
172	0.1455655747
173	0.1446438381
174	0.1440042277
175	0.1434380032
176	0.1425845
177	0.1418309563
178	0.1409241012
179	0.1399542492
180	0.1391021847
181	0.1382615368
182	0.1375477627
183	0.1367296235
184	0.1358088742
185	0.135148901
186	0.1341155831
187	0.1335266302
188	0.1327894784
